"","Município","0 a 2","3 a 5","6 a 7","8 a 10","Ignorado","Total","Ano"
"39417","160060 SANTANA",12,10,37,2121,8,2188,"2017"
"39418","160070 TARTARUGALZINHO",1,0,3,203,93,300,"2017"
"39419","160080 VITORIA DO JARI",0,8,10,254,2,274,"2017"
"39420","MUNICIPIO IGNORADO - TO",0,0,0,3,0,3,"2017"
"39421","170025 ABREULANDIA",0,0,0,27,0,27,"2017"
"39422","170030 AGUIARNOPOLIS",0,0,0,76,0,76,"2017"
"39423","170035 ALIANCA DO TOCANTINS",1,0,1,89,2,93,"2017"
"39424","170040 ALMAS",0,0,0,128,0,128,"2017"
"39425","170070 ALVORADA",1,0,4,106,0,111,"2017"
"39426","170100 ANANAS",1,0,1,159,3,164,"2017"
"39427","170105 ANGICO",0,0,1,41,1,43,"2017"
"39428","170110 APARECIDA DO RIO NEGRO",0,0,1,77,1,79,"2017"
"39429","170130 ARAGOMINAS",0,0,2,64,2,68,"2017"
"39430","170190 ARAGUACEMA",0,0,1,111,1,113,"2017"
"39431","170200 ARAGUACU",0,0,1,96,0,97,"2017"
"39432","170210 ARAGUAINA",6,15,44,3020,13,3098,"2017"
"39433","170215 ARAGUANA",0,0,2,95,0,97,"2017"
"39434","170220 ARAGUATINS",1,0,4,490,74,569,"2017"
"39435","170230 ARAPOEMA",0,1,2,99,0,102,"2017"
"39436","170240 ARRAIAS",0,0,1,167,1,169,"2017"
"39437","170255 AUGUSTINOPOLIS",1,1,6,266,38,312,"2017"
"39438","170270 AURORA DO TOCANTINS",0,0,1,40,1,42,"2017"
"39439","170290 AXIXA DO TOCANTINS",1,0,7,136,13,157,"2017"
"39440","170300 BABACULANDIA",0,1,0,105,1,107,"2017"
"39441","170305 BANDEIRANTES DO TOCANTINS",0,1,1,46,0,48,"2017"
"39442","170307 BARRA DO OURO",0,1,2,88,4,95,"2017"
"39443","170310 BARROLANDIA",0,0,1,58,0,59,"2017"
"39444","170320 BERNARDO SAYAO",0,0,0,59,1,60,"2017"
"39445","170330 BOM JESUS DO TOCANTINS",0,0,2,77,1,80,"2017"
"39446","170360 BRASILANDIA DO TOCANTINS",0,0,0,20,2,22,"2017"
"39447","170370 BREJINHO DE NAZARE",0,0,1,78,0,79,"2017"
"39448","170380 BURITI DO TOCANTINS",0,0,1,122,23,146,"2017"
"39449","170382 CACHOEIRINHA",0,0,1,26,2,29,"2017"
"39450","170384 CAMPOS LINDOS",0,0,1,125,15,141,"2017"
"39451","170386 CARIRI DO TOCANTINS",1,0,1,50,0,52,"2017"
"39452","170388 CARMOLANDIA",0,0,1,44,0,45,"2017"
"39453","170389 CARRASCO BONITO",0,0,0,60,16,76,"2017"
"39454","170390 CASEARA",0,0,0,68,1,69,"2017"
"39455","170410 CENTENARIO",0,0,0,25,0,25,"2017"
"39456","170460 CHAPADA DE AREIA",0,0,0,20,0,20,"2017"
"39457","170510 CHAPADA DA NATIVIDADE",0,0,0,37,0,37,"2017"
"39458","170550 COLINAS DO TOCANTINS",1,3,9,576,14,603,"2017"
"39459","170555 COMBINADO",0,0,1,69,1,71,"2017"
"39460","170560 CONCEICAO DO TOCANTINS",0,1,2,55,2,60,"2017"
"39461","170600 COUTO MAGALHAES",1,0,0,79,0,80,"2017"
