"","Município","0 a 2","3 a 5","6 a 7","8 a 10","Ignorado","Total","Ano"
"10320","430587 CORONEL BARROS",0,1,0,36,0,37,"2011"
"10321","430590 CORONEL BICACO",0,0,2,117,0,119,"2011"
"10322","430593 CORONEL PILAR",0,0,0,10,0,10,"2011"
"10323","430595 COTIPORA",0,0,1,18,0,19,"2011"
"10324","430597 COXILHA",0,1,0,31,0,32,"2011"
"10325","430600 CRISSIUMAL",0,0,0,144,0,144,"2011"
"10326","430605 CRISTAL",1,1,3,92,0,97,"2011"
"10327","430607 CRISTAL DO SUL",0,0,1,38,0,39,"2011"
"10328","430610 CRUZ ALTA",2,1,19,893,2,917,"2011"
"10329","430613 CRUZALTENSE",0,0,1,17,0,18,"2011"
"10330","430620 CRUZEIRO DO SUL",0,0,2,117,0,119,"2011"
"10331","430630 DAVID CANABARRO",0,0,0,46,0,46,"2011"
"10332","430632 DERRUBADAS",0,0,0,40,0,40,"2011"
"10333","430635 DEZESSEIS DE NOVEMBRO",0,0,0,28,0,28,"2011"
"10334","430637 DILERMANDO DE AGUIAR",0,0,1,32,1,34,"2011"
"10335","430640 DOIS IRMAOS",1,3,6,344,0,354,"2011"
"10336","430642 DOIS IRMAOS DAS MISSOES",0,1,1,22,0,24,"2011"
"10337","430645 DOIS LAJEADOS",0,0,0,22,0,22,"2011"
"10338","430650 DOM FELICIANO",0,1,2,178,0,181,"2011"
"10339","430655 DOM PEDRO DE ALCANTARA",0,0,0,20,0,20,"2011"
"10340","430660 DOM PEDRITO",1,0,5,450,1,457,"2011"
"10341","430670 DONA FRANCISCA",0,0,1,44,1,46,"2011"
"10342","430673 DOUTOR MAURICIO CARDOSO",0,0,0,37,0,37,"2011"
"10343","430675 DOUTOR RICARDO",0,0,0,13,0,13,"2011"
"10344","430676 ELDORADO DO SUL",1,2,6,504,4,517,"2011"
"10345","430680 ENCANTADO",0,0,2,221,0,223,"2011"
"10346","430690 ENCRUZILHADA DO SUL",3,4,3,302,4,316,"2011"
"10347","430692 ENGENHO VELHO",0,0,0,26,0,26,"2011"
"10348","430693 ENTRE-IJUIS",0,0,0,82,0,82,"2011"
"10349","430695 ENTRE RIOS DO SUL",0,0,0,38,0,38,"2011"
"10350","430697 EREBANGO",2,0,0,44,0,46,"2011"
"10351","430700 ERECHIM",1,1,29,1263,0,1294,"2011"
"10352","430705 ERNESTINA",0,0,1,34,0,35,"2011"
"10353","430710 HERVAL",0,0,2,59,0,61,"2011"
"10354","430720 ERVAL GRANDE",0,0,0,48,0,48,"2011"
"10355","430730 ERVAL SECO",0,0,2,72,0,74,"2011"
"10356","430740 ESMERALDA",0,0,0,26,2,28,"2011"
"10357","430745 ESPERANCA DO SUL",0,1,1,36,0,38,"2011"
"10358","430750 ESPUMOSO",0,0,3,198,0,201,"2011"
"10359","430755 ESTACAO",0,0,1,56,0,57,"2011"
"10360","430760 ESTANCIA VELHA",0,2,12,594,0,608,"2011"
"10361","430770 ESTEIO",0,4,13,1171,6,1194,"2011"
"10362","430780 ESTRELA",2,6,13,348,1,370,"2011"
"10363","430781 ESTRELA VELHA",0,0,0,32,0,32,"2011"
"10364","430783 EUGENIO DE CASTRO",0,0,0,20,0,20,"2011"
"10365","430786 FAGUNDES VARELA",0,0,0,23,0,23,"2011"
"10366","430790 FARROUPILHA",2,3,14,794,0,813,"2011"
"10367","430800 FAXINAL DO SOTURNO",0,0,1,62,1,64,"2011"
"10368","430805 FAXINALZINHO",0,0,0,17,0,17,"2011"
"10369","430807 FAZENDA VILANOVA",0,1,3,49,0,53,"2011"
"10370","430810 FELIZ",0,1,0,137,0,138,"2011"
"10371","430820 FLORES DA CUNHA",2,2,4,313,0,321,"2011"
"10372","430825 FLORIANO PEIXOTO",1,0,0,10,0,11,"2011"
"10373","430830 FONTOURA XAVIER",0,0,1,130,0,131,"2011"
"10374","430840 FORMIGUEIRO",0,0,2,55,0,57,"2011"
"10375","430843 FORQUETINHA",0,0,0,21,0,21,"2011"
"10376","430845 FORTALEZA DOS VALOS",0,0,1,44,0,45,"2011"
"10377","430850 FREDERICO WESTPHALEN",0,3,6,335,0,344,"2011"
"10378","430860 GARIBALDI",0,2,2,290,0,294,"2011"
"10379","430865 GARRUCHOS",0,0,0,50,0,50,"2011"
"10380","430870 GAURAMA",0,0,1,40,0,41,"2011"
"10381","430880 GENERAL CAMARA",0,0,1,89,1,91,"2011"
"10382","430885 GENTIL",0,0,0,17,0,17,"2011"
"10383","430890 GETULIO VARGAS",1,1,7,163,0,172,"2011"
"10384","430900 GIRUA",0,0,0,180,0,180,"2011"
"10385","430905 GLORINHA",0,1,2,80,0,83,"2011"
"10386","430910 GRAMADO",0,3,12,474,0,489,"2011"
"10387","430912 GRAMADO DOS LOUREIROS",0,0,0,29,0,29,"2011"
"10388","430915 GRAMADO XAVIER",0,1,0,42,0,43,"2011"
"10389","430920 GRAVATAI",11,10,47,3464,1,3533,"2011"
"10390","430925 GUABIJU",0,0,1,9,0,10,"2011"
"10391","430930 GUAIBA",2,7,24,1260,7,1300,"2011"
"10392","430940 GUAPORE",1,0,2,237,1,241,"2011"
"10393","430950 GUARANI DAS MISSOES",1,0,0,82,0,83,"2011"
"10394","430955 HARMONIA",0,0,0,37,0,37,"2011"
"10395","430957 HERVEIRAS",0,0,3,48,0,51,"2011"
"10396","430960 HORIZONTINA",0,0,1,191,0,192,"2011"
"10397","430965 HULHA NEGRA",1,0,1,72,0,74,"2011"
"10398","430970 HUMAITA",0,0,0,46,0,46,"2011"
"10399","430975 IBARAMA",0,0,0,55,0,55,"2011"
"10400","430980 IBIACA",0,0,0,37,0,37,"2011"
"10401","430990 IBIRAIARAS",0,2,0,66,0,68,"2011"
"10402","430995 IBIRAPUITA",0,0,0,49,0,49,"2011"
"10403","431000 IBIRUBA",0,0,4,215,0,219,"2011"
"10404","431010 IGREJINHA",0,3,4,486,0,493,"2011"
"10405","431020 IJUI",2,2,15,990,0,1009,"2011"
"10406","431030 ILOPOLIS",0,0,0,40,0,40,"2011"
"10407","431033 IMBE",0,1,5,234,2,242,"2011"
"10408","431036 IMIGRANTE",1,0,2,28,0,31,"2011"
"10409","431040 INDEPENDENCIA",1,0,1,61,0,63,"2011"
"10410","431041 INHACORA",0,0,1,27,0,28,"2011"
"10411","431043 IPE",0,0,0,36,0,36,"2011"
"10412","431046 IPIRANGA DO SUL",0,0,0,16,0,16,"2011"
"10413","431050 IRAI",0,0,2,95,0,97,"2011"
"10414","431053 ITAARA",0,1,3,53,0,57,"2011"
"10415","431055 ITACURUBI",0,0,0,36,0,36,"2011"
"10416","431057 ITAPUCA",0,1,0,24,0,25,"2011"
"10417","431060 ITAQUI",2,1,6,277,314,600,"2011"
"10418","431065 ITATI",0,0,0,26,0,26,"2011"
"10419","431070 ITATIBA DO SUL",0,1,0,41,0,42,"2011"
"10420","431075 IVORA",0,0,0,16,0,16,"2011"
"10421","431080 IVOTI",0,0,0,261,0,261,"2011"
"10422","431085 JABOTICABA",0,0,0,27,0,27,"2011"
"10423","431087 JACUIZINHO",0,0,0,28,0,28,"2011"
"10424","431090 JACUTINGA",0,0,1,36,0,37,"2011"
"10425","431100 JAGUARAO",1,0,2,320,0,323,"2011"
"10426","431110 JAGUARI",0,0,0,106,1,107,"2011"
"10427","431112 JAQUIRANA",0,0,1,38,4,43,"2011"
"10428","431113 JARI",0,2,1,37,0,40,"2011"
"10429","431115 JOIA",0,1,3,92,0,96,"2011"
"10430","431120 JULIO DE CASTILHOS",1,0,3,257,0,261,"2011"
"10431","431123 LAGOA BONITA DO SUL",0,0,0,19,0,19,"2011"
"10432","431125 LAGOAO",0,2,0,58,0,60,"2011"
"10433","431127 LAGOA DOS TRES CANTOS",0,0,0,21,0,21,"2011"
"10434","431130 LAGOA VERMELHA",1,1,3,342,0,347,"2011"
"10435","431140 LAJEADO",1,5,13,983,0,1002,"2011"
"10436","431142 LAJEADO DO BUGRE",0,0,0,39,0,39,"2011"
"10437","431150 LAVRAS DO SUL",0,1,1,71,2,75,"2011"
"10438","431160 LIBERATO SALZANO",0,1,2,55,1,59,"2011"
"10439","431162 LINDOLFO COLLOR",1,3,1,78,0,83,"2011"
"10440","431164 LINHA NOVA",0,0,1,9,0,10,"2011"
"10441","431170 MACHADINHO",1,1,0,58,0,60,"2011"
"10442","431171 MACAMBARA",0,0,0,41,0,41,"2011"
"10443","431173 MAMPITUBA",0,2,1,28,0,31,"2011"
"10444","431175 MANOEL VIANA",0,0,1,80,1,82,"2011"
"10445","431177 MAQUINE",0,0,0,63,1,64,"2011"
"10446","431179 MARATA",0,0,0,17,0,17,"2011"
"10447","431180 MARAU",3,1,7,503,0,514,"2011"
"10448","431190 MARCELINO RAMOS",0,0,0,49,0,49,"2011"
"10449","431198 MARIANA PIMENTEL",0,0,1,34,0,35,"2011"
"10450","431200 MARIANO MORO",0,0,0,12,0,12,"2011"
"10451","431205 MARQUES DE SOUZA",0,0,2,48,0,50,"2011"
"10452","431210 MATA",0,0,1,46,0,47,"2011"
"10453","431213 MATO CASTELHANO",0,0,0,26,0,26,"2011"
"10454","431215 MATO LEITAO",0,0,1,34,0,35,"2011"
"10455","431217 MATO QUEIMADO",0,0,0,20,0,20,"2011"
"10456","431220 MAXIMILIANO DE ALMEIDA",0,0,0,44,0,44,"2011"
"10457","431225 MINAS DO LEAO",0,0,1,90,1,92,"2011"
"10458","431230 MIRAGUAI",0,0,0,49,0,49,"2011"
"10459","431235 MONTAURI",0,0,0,9,0,9,"2011"
"10460","431237 MONTE ALEGRE DOS CAMPOS",0,1,0,24,6,31,"2011"
"10461","431238 MONTE BELO DO SUL",0,0,0,23,0,23,"2011"
"10462","431240 MONTENEGRO",2,3,5,827,0,837,"2011"
"10463","431242 MORMACO",0,0,1,24,0,25,"2011"
"10464","431244 MORRINHOS DO SUL",0,0,1,13,0,14,"2011"
"10465","431245 MORRO REDONDO",0,0,0,49,0,49,"2011"
"10466","431247 MORRO REUTER",0,0,2,56,0,58,"2011"
"10467","431250 MOSTARDAS",0,0,3,124,0,127,"2011"
"10468","431260 MUCUM",0,0,0,37,0,37,"2011"
"10469","431261 MUITOS CAPOES",0,0,1,22,3,26,"2011"
"10470","431262 MULITERNO",0,0,0,22,0,22,"2011"
"10471","431265 NAO-ME-TOQUE",0,0,3,203,0,206,"2011"
"10472","431267 NICOLAU VERGUEIRO",1,0,0,15,0,16,"2011"
"10473","431270 NONOAI",0,1,4,158,0,163,"2011"
"10474","431275 NOVA ALVORADA",0,0,1,34,0,35,"2011"
"10475","431280 NOVA ARACA",0,0,0,46,0,46,"2011"
"10476","431290 NOVA BASSANO",0,0,1,94,0,95,"2011"
"10477","431295 NOVA BOA VISTA",0,0,1,17,0,18,"2011"
"10478","431300 NOVA BRESCIA",0,0,0,23,1,24,"2011"
"10479","431301 NOVA CANDELARIA",1,0,0,21,0,22,"2011"
"10480","431303 NOVA ESPERANCA DO SUL",0,1,0,49,0,50,"2011"
"10481","431306 NOVA HARTZ",1,1,5,266,1,274,"2011"
"10482","431308 NOVA PADUA",0,0,0,14,0,14,"2011"
"10483","431310 NOVA PALMA",0,0,0,53,0,53,"2011"
"10484","431320 NOVA PETROPOLIS",0,0,2,226,0,228,"2011"
"10485","431330 NOVA PRATA",0,1,3,281,0,285,"2011"
"10486","431333 NOVA RAMADA",0,0,0,12,0,12,"2011"
"10487","431335 NOVA ROMA DO SUL",0,0,0,26,0,26,"2011"
"10488","431337 NOVA SANTA RITA",0,1,3,294,0,298,"2011"
"10489","431339 NOVO CABRAIS",0,0,1,42,0,43,"2011"
"10490","431340 NOVO HAMBURGO",6,15,38,3155,4,3218,"2011"
"10491","431342 NOVO MACHADO",0,0,0,26,0,26,"2011"
"10492","431344 NOVO TIRADENTES",0,0,0,13,0,13,"2011"
"10493","431346 NOVO XINGU",1,0,0,14,0,15,"2011"
"10494","431349 NOVO BARREIRO",1,0,0,42,0,43,"2011"
"10495","431350 OSORIO",0,1,6,558,4,569,"2011"
"10496","431360 PAIM FILHO",0,0,0,34,0,34,"2011"
"10497","431365 PALMARES DO SUL",0,0,3,117,0,120,"2011"
"10498","431370 PALMEIRA DAS MISSOES",2,3,9,436,1,451,"2011"
"10499","431380 PALMITINHO",0,0,1,75,0,76,"2011"
"10500","431390 PANAMBI",0,0,3,559,0,562,"2011"
"10501","431395 PANTANO GRANDE",1,0,3,104,0,108,"2011"
"10502","431400 PARAI",0,0,1,62,0,63,"2011"
"10503","431402 PARAISO DO SUL",0,0,0,54,1,55,"2011"
"10504","431403 PARECI NOVO",0,0,1,36,0,37,"2011"
"10505","431405 PAROBE",2,3,11,750,0,766,"2011"
"10506","431406 PASSA SETE",0,0,0,40,0,40,"2011"
"10507","431407 PASSO DO SOBRADO",0,0,2,66,0,68,"2011"
"10508","431410 PASSO FUNDO",10,13,54,2806,4,2887,"2011"
"10509","431413 PAULO BENTO",0,1,0,22,0,23,"2011"
"10510","431415 PAVERAMA",0,0,2,85,0,87,"2011"
"10511","431417 PEDRAS ALTAS",0,0,1,12,0,13,"2011"
"10512","431420 PEDRO OSORIO",0,0,3,85,0,88,"2011"
"10513","431430 PEJUCARA",0,0,3,38,0,41,"2011"
"10514","431440 PELOTAS",11,37,118,4095,13,4274,"2011"
"10515","431442 PICADA CAFE",0,0,0,54,0,54,"2011"
"10516","431445 PINHAL",0,0,1,21,0,22,"2011"
"10517","431446 PINHAL DA SERRA",0,0,0,24,2,26,"2011"
"10518","431447 PINHAL GRANDE",1,0,0,37,0,38,"2011"
"10519","431449 PINHEIRINHO DO VALE",0,0,0,44,0,44,"2011"
"10520","431450 PINHEIRO MACHADO",3,3,5,133,1,145,"2011"
"10521","431455 PIRAPO",0,0,0,21,0,21,"2011"
"10522","431460 PIRATINI",0,0,4,181,3,188,"2011"
"10523","431470 PLANALTO",0,0,1,130,0,131,"2011"
"10524","431475 POCO DAS ANTAS",0,0,0,23,0,23,"2011"
"10525","431477 PONTAO",0,2,2,41,0,45,"2011"
"10526","431478 PONTE PRETA",0,0,0,16,0,16,"2011"
"10527","431480 PORTAO",1,2,3,352,0,358,"2011"
"10528","431490 PORTO ALEGRE",34,96,360,18338,91,18919,"2011"
"10529","431500 PORTO LUCENA",0,0,3,36,0,39,"2011"
"10530","431505 PORTO MAUA",0,0,0,22,0,22,"2011"
"10531","431507 PORTO VERA CRUZ",0,0,0,10,0,10,"2011"
"10532","431510 PORTO XAVIER",1,0,2,128,0,131,"2011"
"10533","431513 POUSO NOVO",0,0,2,13,0,15,"2011"
"10534","431514 PRESIDENTE LUCENA",0,0,1,30,0,31,"2011"
"10535","431515 PROGRESSO",0,0,2,39,1,42,"2011"
"10536","431517 PROTASIO ALVES",0,0,1,11,0,12,"2011"
"10537","431520 PUTINGA",0,0,2,27,0,29,"2011"
"10538","431530 QUARAI",0,2,29,233,1,265,"2011"
"10539","431531 QUATRO IRMAOS",0,0,0,13,0,13,"2011"
"10540","431532 QUEVEDOS",0,1,0,29,0,30,"2011"
"10541","431535 QUINZE DE NOVEMBRO",0,0,0,34,0,34,"2011"
"10542","431540 REDENTORA",0,0,1,192,2,195,"2011"
"10543","431545 RELVADO",0,0,0,15,0,15,"2011"
"10544","431550 RESTINGA SECA",0,1,3,138,1,143,"2011"
"10545","431555 RIO DOS INDIOS",0,0,0,25,0,25,"2011"
"10546","431560 RIO GRANDE",2,13,69,2456,118,2658,"2011"
"10547","431570 RIO PARDO",2,8,9,334,2,355,"2011"
"10548","431575 RIOZINHO",0,2,2,41,0,45,"2011"
"10549","431580 ROCA SALES",1,0,1,108,0,110,"2011"
"10550","431590 RODEIO BONITO",0,0,0,59,0,59,"2011"
"10551","431595 ROLADOR",0,0,0,23,0,23,"2011"
"10552","431600 ROLANTE",0,0,6,232,1,239,"2011"
"10553","431610 RONDA ALTA",1,1,4,115,0,121,"2011"
"10554","431620 RONDINHA",0,0,1,43,0,44,"2011"
"10555","431630 ROQUE GONZALES",0,0,0,71,0,71,"2011"
"10556","431640 ROSARIO DO SUL",2,4,3,431,1,441,"2011"
"10557","431642 SAGRADA FAMILIA",0,0,0,25,0,25,"2011"
"10558","431643 SALDANHA MARINHO",0,0,0,28,0,28,"2011"
"10559","431645 SALTO DO JACUI",0,0,1,131,1,133,"2011"
"10560","431647 SALVADOR DAS MISSOES",0,0,0,21,0,21,"2011"
"10561","431650 SALVADOR DO SUL",0,0,0,50,0,50,"2011"
"10562","431660 SANANDUVA",1,1,1,167,0,170,"2011"
"10563","431670 SANTA BARBARA DO SUL",0,1,0,89,0,90,"2011"
"10564","431673 SANTA CECILIA DO SUL",0,0,0,17,0,17,"2011"
"10565","431675 SANTA CLARA DO SUL",0,0,2,49,0,51,"2011"
"10566","431680 SANTA CRUZ DO SUL",2,8,20,1470,3,1503,"2011"
"10567","431690 SANTA MARIA",8,18,54,3442,18,3540,"2011"
"10568","431695 SANTA MARIA DO HERVAL",0,0,3,58,0,61,"2011"
"10569","431697 SANTA MARGARIDA DO SUL",0,0,0,24,0,24,"2011"
"10570","431700 SANTANA DA BOA VISTA",0,1,0,63,1,65,"2011"
"10571","431710 SANT'ANA DO LIVRAMENTO",1,5,13,1057,9,1085,"2011"
"10572","431720 SANTA ROSA",1,3,33,840,3,880,"2011"
"10573","431725 SANTA TEREZA",0,0,0,4,0,4,"2011"
"10574","431730 SANTA VITORIA DO PALMAR",0,4,7,348,0,359,"2011"
"10575","431740 SANTIAGO",2,1,2,550,1,556,"2011"
"10576","431750 SANTO ANGELO",3,5,4,987,0,999,"2011"
"10577","431755 SANTO ANTONIO DO PALMA",0,0,0,25,0,25,"2011"
"10578","431760 SANTO ANTONIO DA PATRULHA",2,2,6,428,2,440,"2011"
"10579","431770 SANTO ANTONIO DAS MISSOES",0,0,0,123,0,123,"2011"
"10580","431775 SANTO ANTONIO DO PLANALTO",0,0,0,27,0,27,"2011"
"10581","431780 SANTO AUGUSTO",0,1,0,165,0,166,"2011"
"10582","431790 SANTO CRISTO",0,2,6,135,0,143,"2011"
"10583","431795 SANTO EXPEDITO DO SUL",0,0,0,21,0,21,"2011"
"10584","431800 SAO BORJA",1,1,6,770,1,779,"2011"
"10585","431805 SAO DOMINGOS DO SUL",0,0,1,23,0,24,"2011"
"10586","431810 SAO FRANCISCO DE ASSIS",0,1,1,190,0,192,"2011"
"10587","431820 SAO FRANCISCO DE PAULA",2,0,5,272,1,280,"2011"
"10588","431830 SAO GABRIEL",5,2,7,747,4,765,"2011"
"10589","431840 SAO JERONIMO",0,1,4,282,0,287,"2011"
"10590","431842 SAO JOAO DA URTIGA",0,0,1,33,0,34,"2011"
"10591","431843 SAO JOAO DO POLESINE",0,0,0,27,0,27,"2011"
"10592","431844 SAO JORGE",0,0,0,19,0,19,"2011"
"10593","431845 SAO JOSE DAS MISSOES",0,0,0,26,0,26,"2011"
"10594","431846 SAO JOSE DO HERVAL",0,0,2,23,0,25,"2011"
"10595","431848 SAO JOSE DO HORTENCIO",0,0,0,29,0,29,"2011"
"10596","431849 SAO JOSE DO INHACORA",0,0,1,10,0,11,"2011"
"10597","431850 SAO JOSE DO NORTE",0,2,5,270,6,283,"2011"
"10598","431860 SAO JOSE DO OURO",0,0,0,77,0,77,"2011"
"10599","431861 SAO JOSE DO SUL",0,0,1,21,0,22,"2011"
"10600","431862 SAO JOSE DOS AUSENTES",0,0,0,29,5,34,"2011"
"10601","431870 SAO LEOPOLDO",1,15,49,2942,15,3022,"2011"
"10602","431880 SAO LOURENCO DO SUL",3,3,10,429,2,447,"2011"
"10603","431890 SAO LUIZ GONZAGA",0,1,0,423,2,426,"2011"
"10604","431900 SAO MARCOS",0,1,3,196,0,200,"2011"
"10605","431910 SAO MARTINHO",0,0,0,58,1,59,"2011"
"10606","431912 SAO MARTINHO DA SERRA",0,0,0,28,0,28,"2011"
"10607","431915 SAO MIGUEL DAS MISSOES",0,0,0,78,1,79,"2011"
"10608","431920 SAO NICOLAU",0,0,0,53,0,53,"2011"
"10609","431930 SAO PAULO DAS MISSOES",0,0,0,55,0,55,"2011"
"10610","431935 SAO PEDRO DA SERRA",0,0,0,27,0,27,"2011"
"10611","431936 SAO PEDRO DAS MISSOES",0,0,0,32,1,33,"2011"
"10612","431937 SAO PEDRO DO BUTIA",0,0,0,20,0,20,"2011"
"10613","431940 SAO PEDRO DO SUL",1,1,2,162,2,168,"2011"
"10614","431950 SAO SEBASTIAO DO CAI",0,1,2,266,0,269,"2011"
"10615","431960 SAO SEPE",0,0,1,224,0,225,"2011"
"10616","431970 SAO VALENTIM",0,1,1,33,0,35,"2011"
"10617","431971 SAO VALENTIM DO SUL",0,0,0,5,0,5,"2011"
"10618","431973 SAO VALERIO DO SUL",0,0,1,38,0,39,"2011"
"10619","431975 SAO VENDELINO",0,0,0,16,0,16,"2011"
"10620","431980 SAO VICENTE DO SUL",2,0,0,76,3,81,"2011"
"10621","431990 SAPIRANGA",3,4,18,1150,2,1177,"2011"
"10622","432000 SAPUCAIA DO SUL",3,7,41,1707,2,1760,"2011"
"10623","432010 SARANDI",1,0,7,259,1,268,"2011"
"10624","432020 SEBERI",2,1,4,140,0,147,"2011"
"10625","432023 SEDE NOVA",0,0,0,27,0,27,"2011"
"10626","432026 SEGREDO",1,1,1,78,0,81,"2011"
"10627","432030 SELBACH",0,0,1,51,0,52,"2011"
"10628","432032 SENADOR SALGADO FILHO",0,0,0,35,0,35,"2011"
"10629","432035 SENTINELA DO SUL",0,0,0,65,1,66,"2011"
"10630","432040 SERAFINA CORREA",0,0,3,222,0,225,"2011"
"10631","432045 SERIO",0,0,2,14,0,16,"2011"
"10632","432050 SERTAO",1,0,3,55,0,59,"2011"
"10633","432055 SERTAO SANTANA",0,0,1,50,2,53,"2011"
"10634","432057 SETE DE SETEMBRO",0,0,0,10,0,10,"2011"
"10635","432060 SEVERIANO DE ALMEIDA",0,1,1,40,0,42,"2011"
"10636","432065 SILVEIRA MARTINS",0,0,0,16,0,16,"2011"
"10637","432067 SINIMBU",0,0,1,74,0,75,"2011"
"10638","432070 SOBRADINHO",0,1,4,166,0,171,"2011"
"10639","432080 SOLEDADE",1,1,4,379,0,385,"2011"
"10640","432085 TABAI",0,1,0,50,1,52,"2011"
"10641","432090 TAPEJARA",1,1,1,230,0,233,"2011"
"10642","432100 TAPERA",1,0,2,122,0,125,"2011"
"10643","432110 TAPES",0,0,2,158,2,162,"2011"
"10644","432120 TAQUARA",3,2,2,609,1,617,"2011"
"10645","432130 TAQUARI",0,1,2,335,2,340,"2011"
"10646","432132 TAQUARUCU DO SUL",0,0,0,32,0,32,"2011"
"10647","432135 TAVARES",0,0,1,43,0,44,"2011"
"10648","432140 TENENTE PORTELA",1,0,1,220,0,222,"2011"
"10649","432143 TERRA DE AREIA",0,0,2,109,1,112,"2011"
"10650","432145 TEUTONIA",2,1,7,380,0,390,"2011"
"10651","432146 TIO HUGO",1,0,0,41,0,42,"2011"
"10652","432147 TIRADENTES DO SUL",0,0,0,64,0,64,"2011"
"10653","432149 TOROPI",0,0,0,22,0,22,"2011"
"10654","432150 TORRES",1,2,4,472,0,479,"2011"
"10655","432160 TRAMANDAI",0,4,22,627,7,660,"2011"
"10656","432162 TRAVESSEIRO",0,1,0,17,0,18,"2011"
"10657","432163 TRES ARROIOS",0,0,0,14,0,14,"2011"
"10658","432166 TRES CACHOEIRAS",0,0,2,112,0,114,"2011"
"10659","432170 TRES COROAS",0,2,8,325,0,335,"2011"
"10660","432180 TRES DE MAIO",1,1,2,276,0,280,"2011"
"10661","432183 TRES FORQUILHAS",0,0,1,30,0,31,"2011"
"10662","432185 TRES PALMEIRAS",0,0,0,41,0,41,"2011"
"10663","432190 TRES PASSOS",0,2,0,269,0,271,"2011"
"10664","432195 TRINDADE DO SUL",0,0,0,71,0,71,"2011"
"10665","432200 TRIUNFO",1,1,1,373,1,377,"2011"
"10666","432210 TUCUNDUVA",0,0,2,53,0,55,"2011"
"10667","432215 TUNAS",0,0,0,39,0,39,"2011"
"10668","432218 TUPANCI DO SUL",0,0,0,7,0,7,"2011"
"10669","432220 TUPANCIRETA",2,0,3,270,0,275,"2011"
"10670","432225 TUPANDI",0,0,0,62,0,62,"2011"
"10671","432230 TUPARENDI",0,0,0,66,0,66,"2011"
"10672","432232 TURUCU",0,0,0,27,1,28,"2011"
"10673","432234 UBIRETAMA",0,0,0,17,0,17,"2011"
"10674","432235 UNIAO DA SERRA",0,0,0,6,0,6,"2011"
"10675","432237 UNISTALDA",0,0,1,26,0,27,"2011"
"10676","432240 URUGUAIANA",3,10,25,1255,683,1976,"2011"
"10677","432250 VACARIA",0,6,7,761,198,972,"2011"
"10678","432252 VALE VERDE",0,0,1,26,1,28,"2011"
"10679","432253 VALE DO SOL",0,0,0,101,0,101,"2011"
"10680","432254 VALE REAL",0,0,1,57,0,58,"2011"
"10681","432255 VANINI",0,0,0,21,0,21,"2011"
"10682","432260 VENANCIO AIRES",1,1,11,717,1,731,"2011"
"10683","432270 VERA CRUZ",0,0,2,262,0,264,"2011"
"10684","432280 VERANOPOLIS",0,2,2,210,1,215,"2011"
"10685","432285 VESPASIANO CORREA",0,0,0,12,0,12,"2011"
"10686","432290 VIADUTOS",0,0,1,39,0,40,"2011"
"10687","432300 VIAMAO",8,18,60,3209,29,3324,"2011"
"10688","432310 VICENTE DUTRA",0,0,3,61,0,64,"2011"
"10689","432320 VICTOR GRAEFF",0,0,1,25,0,26,"2011"
"10690","432330 VILA FLORES",0,0,0,29,0,29,"2011"
"10691","432335 VILA LANGARO",0,0,0,13,0,13,"2011"
"10692","432340 VILA MARIA",0,0,0,51,0,51,"2011"
"10693","432345 VILA NOVA DO SUL",0,0,0,37,1,38,"2011"
"10694","432350 VISTA ALEGRE",0,0,0,25,0,25,"2011"
"10695","432360 VISTA ALEGRE DO PRATA",0,0,0,10,0,10,"2011"
"10696","432370 VISTA GAUCHA",0,0,0,33,0,33,"2011"
"10697","432375 VITORIA DAS MISSOES",0,0,0,18,0,18,"2011"
"10698","432377 WESTFALIA",0,0,0,26,0,26,"2011"
"10699","432380 XANGRI-LA",0,1,1,185,0,187,"2011"
"10700","500020 AGUA CLARA",0,1,0,282,0,283,"2011"
"10701","500025 ALCINOPOLIS",0,0,1,42,1,44,"2011"
"10702","500060 AMAMBAI",1,3,5,723,2,734,"2011"
"10703","500070 ANASTACIO",1,0,6,447,17,471,"2011"
"10704","500080 ANAURILANDIA",0,1,6,104,0,111,"2011"
"10705","500085 ANGELICA",0,0,2,135,0,137,"2011"
"10706","500090 ANTONIO JOAO",0,2,0,167,1,170,"2011"
"10707","500100 APARECIDA DO TABOADO",0,2,4,284,0,290,"2011"
"10708","500110 AQUIDAUANA",2,4,14,862,9,891,"2011"
"10709","500124 ARAL MOREIRA",0,48,2,96,4,150,"2011"
"10710","500150 BANDEIRANTES",0,0,2,67,0,69,"2011"
"10711","500190 BATAGUASSU",1,1,4,356,0,362,"2011"
"10712","500200 BATAYPORA",2,0,2,186,1,191,"2011"
"10713","500210 BELA VISTA",4,2,8,453,6,473,"2011"
"10714","500215 BODOQUENA",0,1,2,142,0,145,"2011"
"10715","500220 BONITO",2,0,1,335,0,338,"2011"
"10716","500230 BRASILANDIA",1,0,0,124,0,125,"2011"
"10717","500240 CAARAPO",13,1,1,521,0,536,"2011"
"10718","500260 CAMAPUA",0,1,1,170,2,174,"2011"
"10719","500270 CAMPO GRANDE",103,23,132,12561,226,13045,"2011"
"10720","500280 CARACOL",0,0,1,91,0,92,"2011"
"10721","500290 CASSILANDIA",1,2,1,261,0,265,"2011"
"10722","500295 CHAPADAO DO SUL",2,0,2,373,1,378,"2011"
"10723","500310 CORGUINHO",0,0,1,42,1,44,"2011"
"10724","500315 CORONEL SAPUCAIA",1,0,5,294,9,309,"2011"
