"CODMUNNASC";"ano";"PESO";"APGAR1";"APGAR5"
120042;2010;3167,64705882353;8,33333333333333;9,87234042553191
120042;2011;3330,18181818182;8,48571428571429;9,74285714285714
120043;2010;3136,35714285714;8,5;9,75
120043;2011;3159,13580246914;8,10344827586207;9,82758620689655
120045;2010;3463,9603960396;7,27;9,28
120045;2011;3586,6;7,2;9,42
120050;2010;3369,94343891403;8,2648401826484;9,31278538812785
120050;2011;3198,59168241966;8,20502512562814;9,27939698492462
120060;2010;3283,67924528302;8,97041420118343;9,67258382642998
120060;2011;3387,46970954357;8,61802973977695;9,48698884758364
120070;2010;3334,39306358382;7,15476190476191;8,64285714285714
120070;2011;3371,08536585366;7,21019108280255;8,64556962025316
120080;2010;3100;NA;NA
120080;2011;2535;NA;NA
130002;2010;3250,71698113208;7,80681818181818;8,89772727272727
130002;2011;3202,00668896321;7,66889632107023;8,74247491638796
130006;2010;3142,23913043478;8,21848739495798;9,6890756302521
130006;2011;3128,3125;8,07692307692308;9,39316239316239
130008;2010;3192,76963350785;8,86885245901639;9,98360655737705
130008;2011;3048,27188940092;8,69626168224299;9,9392523364486
130010;2010;3333,7375;8,34649122807017;4
130010;2011;3349,80168776371;8,07373271889401;8,88888888888889
130014;2010;3262,37451737452;8,1171875;9,23828125
130014;2011;3340,84051724138;8,00865800865801;9,21645021645022
130020;2010;3113,96624472574;7,63829787234043;8,6468085106383
130020;2011;3164,29523809524;7,66798418972332;8,66798418972332
130030;2010;3232,60998650472;8,10690789473684;9,45559210526316
130030;2011;3221,21836228288;8,11388455538222;9,4383775351014
130040;2010;3167,16049382716;5,94063926940639;8,76255707762557
130040;2011;3174,17454545455;5,87548638132296;8,68871595330739
130050;2010;3295,25886524823;8,52651515151515;9,71590909090909
130050;2011;3268,90925925926;8,58071278825996;9,82389937106918
130060;2010;3225,88424437299;7,93669527896996;9,78670953912111
130060;2011;3213,61325301205;8,13407134071341;9,79335793357934
130063;2010;3277,8488372093;7,85163204747774;8,73590504451039
130063;2011;3286,49570200573;7,79351032448378;8,85250737463127
130068;2010;3239,0350877193;7,70606060606061;8,85800604229607
130068;2011;3248,18584070796;7,671875;8,82291666666667
130070;2010;3224,74153297683;7,76470588235294;8,85383244206774
130070;2011;3280,78804347826;7,78765880217786;8,86388384754991
130080;2010;3214,93543046358;8,19027484143763;9,5369978858351
130080;2011;3232,84757118928;8,20464135021097;9,37130801687764
130083;2010;3205,17647058824;8,76119402985075;9,83582089552239
130083;2011;3210,38834951456;8,79661016949153;9,77966101694915
130090;2010;3200,42780748663;8,28494623655914;9,59139784946237
130090;2011;3217,75568181818;8,08620689655172;9,44252873563218
130100;2010;3317,42375886525;8,86531986531987;9,93771043771044
130100;2011;3390,30685920578;8,68214285714286;9,94821428571429
130110;2010;3395,54187192118;7,90361445783132;9,54216867469879
130110;2011;3294,30167597765;7,8740157480315;9,28346456692913
130115;2010;NA;NA;NA
130115;2011;2927,85714285714;7;9
130120;2010;3208,91171277222;8,4572775486152;9,7379269729093
130120;2011;3222,00399315459;8,51287922152261;9,71837435603892
130130;2010;3297,5057208238;8,81524249422633;9,88683602771363
130130;2011;3334,94832041344;8,74160206718346;9,80878552971576
130140;2010;3100,52812071331;7,52401746724891;8,79330422125182
130140;2011;3195,85677419355;7,58426966292135;8,78511235955056
130150;2010;3110,35087719298;8,66083916083916;9,7027972027972
130150;2011;3074,13114754098;8,79605263157895;9,85197368421053
130160;2010;3163,01059322034;7,93432203389831;9,01059322033898
130160;2011;3142,56957328386;7,90909090909091;9,02040816326531
130165;2010;3383,36;8,68041237113402;9,85567010309278
130165;2011;3378,91379310345;9,51162790697674;10,6279069767442
130170;2010;3241,66666666667;8,34756097560976;9,28048780487805
130170;2011;3237,61378555799;8,34103410341034;9,18612334801762
130180;2010;3206,40229885057;8,92672413793103;9,97413793103448
130180;2011;3185,26301369863;8,99596774193548;9,99596774193548
130185;2010;3407,04537815126;8,3526405451448;9,6695059625213
130185;2011;3320,78582930757;8,40650406504065;9,71382113821138
130190;2010;3266,69556451613;8,37533948940793;9,70521172638436
130190;2011;3229,48134524435;8,32505643340858;9,74040632054176
130195;2010;3242,5;8,40740740740741;9,55555555555556
130195;2011;3180,4347826087;8,3781512605042;9,73109243697479
130200;2010;3261,82266009852;8,22448979591837;9,60204081632653
130200;2011;3304,27807486631;8,42134831460674;9,70786516853933
130210;2010;3261,9696969697;7,18421052631579;8,26315789473684
130210;2011;3202,78861788618;7,4672131147541;8,35245901639344
130220;2010;3277,16666666667;5,95555555555556;8,21428571428571
130220;2011;3222,69461077844;6,625;8,5593220338983
130230;2010;3175,45276872964;7,95652173913043;9,43478260869565
130230;2011;3289,44923076923;8,66225165562914;9,8476821192053
130240;2010;3286,14078374456;7,16981132075472;8,16400580551524
130240;2011;3284,8908819133;8,13023952095808;8,88323353293413
130250;2010;3195,1588688946;7,94886975242196;9,01668460710441
130250;2011;3242,89191869113;8,23433385992628;9,29699842022117
130255;2010;3191,73913043478;8,32584269662921;9,64044943820225
130255;2011;3291,20430107527;8,26436781609195;9,66666666666667
130260;2010;3217,48430669483;8,49650522976255;9,60717289141726
130260;2011;3221,2536981899;8,54436427922978;9,62333015267176
130270;2010;3268,86980609418;7,3609576427256;8,51749539594844
130270;2011;3302,68915343915;7,36949152542373;8,4804753820034
130280;2010;3243,77675840979;8,1890243902439;9,25609756097561
130280;2011;3215,12980769231;8,31730769230769;9,58173076923077
130290;2010;3219,95581395349;8,1715438950555;9,71644803229062
130290;2011;3222,65314989138;8,28207547169811;9,67830188679245
130300;2010;3318,08127208481;7,73665480427046;8,90035587188612
130300;2011;3316,25174825175;7,73170731707317;8,85714285714286
130310;2010;3177,18421052632;8,51509769094138;9,52575488454707
130310;2011;3168,7397881997;8,16666666666667;9,24955116696589
130320;2010;3234,31818181818;8,59447004608295;9,8110599078341
130320;2011;3305,4449339207;8,37004405286344;9,80176211453744
130330;2010;3323,39210526316;7,22254335260116;8,70231213872832
130330;2011;3350,34733893557;8,37025316455696;9,4620253164557
130340;2010;3202,08549222798;7,93874891398784;9,63292788879235
130340;2011;3215,39177025289;7,94715629198388;9,72548141513659
130350;2010;3291,4693877551;8,39240506329114;9,57383966244726
130350;2011;3314,88924050633;8,90553745928339;9,92508143322476
130353;2010;3291,57175398633;8,35307517084282;9,54669703872437
130353;2011;3306,875;8,13709677419355;9,43817204301075
130356;2010;3248,37185929648;8,49484536082474;9,53092783505155
130356;2011;3265,99248120301;8,56818181818182;9,6015037593985
130360;2010;3145,27419354839;7,23728813559322;8,66101694915254
130360;2011;3156,79211469534;6,34444444444444;8,45555555555556
130370;2010;3117,63527054108;8,12944162436548;9,03299492385787
130370;2011;3130,35667752443;8,38923395445135;9,28778467908903
130380;2010;3163,31927710843;8,37701149425287;9,56769596199525
130380;2011;3170,32402234637;8,26385809312639;9,45537757437071
130390;2010;3104,88715953307;NA;NA
130390;2011;3113,06789413119;7,61172161172161;9,31617647058824
130395;2010;3205,49668874172;8,02666666666667;9,54
130395;2011;3288,2183908046;7,54597701149425;9,63218390804598
130400;2010;3211,54069767442;8,73885350318471;9,78980891719745
130400;2011;3324,30327868852;8,55855855855856;9,68468468468468
130406;2010;3115,55720338983;8,57283464566929;9,50245821042281
130406;2011;3190,05862068966;8,74486571879937;9,76461295418641
130410;2010;3348,75888324873;7,6260162601626;9,82655826558266
130410;2011;3252,60212201592;7,67045454545455;9,84702549575071
130420;2010;3234,15245327103;8,50240963855422;9,68532338308458
130420;2011;3200,96802841918;8,43639683505782;9,64303178484108
130423;2010;3161,9746031746;8,08502024291498;9,22672064777328
130423;2011;3182,12121212121;8,33948339483395;9,41328413284133
130426;2010;3155,65714285714;7,48201438848921;8,3955223880597
130426;2011;3224,47384615385;7,47222222222222;8,21768707482993
130430;2010;3306,70807453416;7,04040404040404;9,14141414141414
130430;2011;3291,28333333333;6,81362007168459;9,01075268817204
130440;2010;3248,51097178683;8,21317829457364;9,27519379844961
130440;2011;3262,88505747126;8,14705882352941;9,32352941176471
140002;2010;2798,14965986395;7,92307692307692;8,83333333333333
140002;2011;2821,23275862069;NA;NA
140005;2010;2830,11044776119;7,4;8,5
140005;2011;2947,14285714286;6,5;7,25
140010;2010;3232,00011884954;8,40148609779482;9,40695026962253
140010;2011;3227,19212962963;8,4235934244038;9,44228320018525
140015;2010;3179,51388888889;8,63157894736842;9,68421052631579
140015;2011;3256,26086956522;8,7536231884058;9,40579710144928
140017;2010;3008,63636363636;8;9
140017;2011;3038,88888888889;1,8;1,8
140020;2010;3281,22222222222;7,19191919191919;8,78787878787879
